# Convergence of S(Q) for Q(n)=n^47-(n-1)^47
# Partial product up to prime p
prime_p,omega_Q_p,local_factor,partial_product_S
2,0,2.00000000,2.000000
3,0,1.50000000,3.000000
5,0,1.25000000,3.750000
7,0,1.16666667,4.375000
11,0,1.10000000,4.812500
13,0,1.08333333,5.213542
17,0,1.06250000,5.539388
19,0,1.05555556,5.847132
23,0,1.04545455,6.112911
29,0,1.03571429,6.331229
31,0,1.03333333,6.542270
37,0,1.02777778,6.723999
41,0,1.02500000,6.892099
43,0,1.02380952,7.056197
47,0,1.02173913,7.209593
53,0,1.01923077,7.348239
59,0,1.01724138,7.474932
61,0,1.01666667,7.599515
67,0,1.01515152,7.714659
71,0,1.01428571,7.824868
73,0,1.01388889,7.933547
79,0,1.01282051,8.035259
83,0,1.01219512,8.133250
89,0,1.01136364,8.225673
97,0,1.01041667,8.311357
101,0,1.01000000,8.394471
103,0,1.00980392,8.476770
107,0,1.00943396,8.556739
109,0,1.00925926,8.635968
113,0,1.00892857,8.713075
127,0,1.00793651,8.782227
131,0,1.00769231,8.849782
137,0,1.00735294,8.914854
139,0,1.00724638,8.979454
149,0,1.00675676,9.040126
151,0,1.00666667,9.100394
157,0,1.00641026,9.158730
163,0,1.00617284,9.215265
167,0,1.00602410,9.270779
173,0,1.00581395,9.324679
179,0,1.00561798,9.377065
181,0,1.00555556,9.429159
191,0,1.00526316,9.478786
193,0,1.00520833,9.528155
197,0,1.00510204,9.576768
199,0,1.00505051,9.625136
211,0,1.00476190,9.670970
223,0,1.00450450,9.714533
227,0,1.00442478,9.757517
229,0,1.00438596,9.800313
233,0,1.00431034,9.842556
239,0,1.00420168,9.883911
241,0,1.00416667,9.925094
251,0,1.00400000,9.964795
257,0,1.00390625,10.003720
263,0,1.00381679,10.041902
269,0,1.00373134,10.079372
271,0,1.00370370,10.116703
277,0,1.00362319,10.153357
281,0,1.00357143,10.189619
283,46,0.84042553,8.563616
293,0,1.00342466,8.592944
307,0,1.00326797,8.621025
311,0,1.00322581,8.648835
313,0,1.00320513,8.676556
317,0,1.00316456,8.704013
331,0,1.00303030,8.730389
337,0,1.00297619,8.756372
347,0,1.00289017,8.781680
349,0,1.00287356,8.806914
353,0,1.00284091,8.831934
359,0,1.00279330,8.856604
367,0,1.00273224,8.880803
373,0,1.00268817,8.904676
379,0,1.00264550,8.928233
383,0,1.00261780,8.951605
389,0,1.00257732,8.974677
397,0,1.00252525,8.997340
401,0,1.00250000,9.019833
409,0,1.00245098,9.041941
419,0,1.00239234,9.063572
421,0,1.00238095,9.085152
431,0,1.00232558,9.106280
433,0,1.00231481,9.127360
439,0,1.00228311,9.148198
443,0,1.00226244,9.168896
449,0,1.00223214,9.189362
457,0,1.00219298,9.209514
461,0,1.00217391,9.229535
463,0,1.00216450,9.249512
467,0,1.00214592,9.269361
479,0,1.00209205,9.288753
487,0,1.00205761,9.307865
491,0,1.00204082,9.326861
499,0,1.00200803,9.345590
503,0,1.00199203,9.364206
509,0,1.00196850,9.382640
521,0,1.00192308,9.400683
523,0,1.00191571,9.418692
541,0,1.00185185,9.436134
547,0,1.00183150,9.453417
557,0,1.00179856,9.470419
563,0,1.00177936,9.487271
569,0,1.00176056,9.503973
571,0,1.00175439,9.520647
577,0,1.00173611,9.537176
587,0,1.00170648,9.553451
593,0,1.00168919,9.569589
599,0,1.00167224,9.585591
601,0,1.00166667,9.601567
607,0,1.00165017,9.617411
